assessment_id,review_mode,book_or_domain,criterion_id,gate,criterion_name,score_0_to_4,confidence_in_assessment,evidence_excerpt,caveat,reviewer_notes
,,,G1-1,Gate1,Claim typing,,,,,
,,,G1-2,Gate1,Method visibility,,,,,
,,,G1-3,Gate1,Hinge visibility,,,,,
,,,G1-4,Gate1,Reproducibility scaffolding,,,,,
,,,G1-5,Gate1,Falsification readiness,,,,,
,,,G1-6,Gate1,Scope discipline,,,,,
,,,G1-7,Gate1,Review-worthiness,,,,,
,,,G2-8,Gate2,Novelty signal,,,,,
,,,G2-9,Gate2,Domain relevance,,,,,
,,,G2-10,Gate2,Prior-art awareness,,,,,
,,,G2-11,Gate2,Cross-domain relevance,,,,,
,,,G2-12,Gate2,Specificity of contribution,,,,,
,,,G3-13,Gate3,Upside magnitude,,,,,
,,,G3-14,Gate3,Partial-hold value,,,,,
,,,G3-15,Gate3,Salvage value,,,,,
,,,G3-16,Gate3,Reusability of artifacts,,,,,
,,,G3-17,Gate3,Strategic importance of inspection,,,,,
